Web Series,Positive,Negative,Neutral,Analysis,Status
Krishna Cottage,3.0,3.0,17.0,Go and Watch,Positive
Kucch To Hai,7.0,7.0,87.0,You Decide,Neutral
Kyaa Kool Hai Hum,0.0,0.0,0.0,Go and Watch,Positive
Kyaa Kool Hain Hum 3,0.0,0.0,0.0,Go and Watch,Positive
Kyaa Super Kool Hain Hum,0.0,3.0,0.0,Do not Watch,Negative
Kyo Kii... Main Jhuth Nahin Bolta,0.0,0.0,0.0,Go and Watch,Positive
"LSD: Love, Sex Aur Dhokha",0.0,0.0,0.0,Go and Watch,Positive
Mission Istaanbul: Darr Ke Aagey Jeet Hai,0.0,0.0,0.0,Go and Watch,Positive
Once Upon a Time in Mumbaai,3.0,3.0,3.0,Go and Watch,Positive
Once Upon a Time in Mumbai Dobaara!,0.0,0.0,0.0,Go and Watch,Positive
Ragini MMS,17.0,0.0,43.0,You Decide,Neutral
Ragini MMS 2,7.0,0.0,13.0,Go and Watch,Positive
Rebellion,47.0,40.0,13.0,Go and Watch,Positive
RIDE ON TIME,67.0,3.0,30.0,Go and Watch,Positive
SAS: Rise of the Black Swan,10.0,7.0,7.0,Do not Watch,Negative
Shootout at Lokhandwala,30.0,0.0,33.0,You Decide,Neutral
Shor In the City,3.0,0.0,13.0,Go and Watch,Positive
The Dirty Picture,30.0,60.0,10.0,Do not Watch,Negative
Titletown High,10.0,3.0,3.0,Do not Watch,Negative
EDENS ZERO,20.0,23.0,57.0,You Decide,Neutral
Family Reunion,20.0,10.0,70.0,You Decide,Neutral
"Bob Ross: Happy Accidents, Betrayal & Greed",0.0,13.0,0.0,Do not Watch,Negative
Clickbait,40.0,17.0,43.0,You Decide,Neutral
John of God: The Crimes of a Spiritual Healer,0.0,0.0,0.0,Go and Watch,Positive
Motel Makeover,17.0,3.0,17.0,Do not Watch,Negative
Open Your Eyes,43.0,27.0,30.0,Go and Watch,Positive
Post Mortem: No One Dies in Skarnes,0.0,3.0,3.0,Do not Watch,Negative
Really Love,87.0,3.0,10.0,Go and Watch,Positive
The November Man,33.0,30.0,37.0,You Decide,Neutral
The Old Ways,60.0,30.0,10.0,Go and Watch,Positive
The River Runner,43.0,20.0,37.0,Go and Watch,Positive
The Water Man,27.0,37.0,37.0,Do not Watch,Negative
Wheel of Fortune,40.0,17.0,43.0,You Decide,Neutral
Count Me In,43.0,3.0,53.0,You Decide,Neutral
Oggy Oggy,23.0,20.0,57.0,You Decide,Neutral
Untold: Caitlyn Jenner,3.0,0.0,10.0,Go and Watch,Positive
Boomika,3.0,0.0,23.0,Go and Watch,Positive
Boomika (Hindi),0.0,0.0,0.0,Go and Watch,Positive
Boomika (Malayalam),0.0,0.0,0.0,Go and Watch,Positive
Boomika (Telugu),0.0,0.0,0.0,Go and Watch,Positive
The Witcher: Nightmare of the Wolf,13.0,7.0,30.0,Do not Watch,Negative
Manifest,33.0,20.0,47.0,You Decide,Neutral
Comedy Premium League,0.0,0.0,0.0,Go and Watch,Positive
Everything Will Be Fine,83.0,10.0,7.0,Go and Watch,Positive
Gunshot,10.0,60.0,30.0,Do not Watch,Negative
Korean Cold Noodle Rhapsody,0.0,0.0,0.0,Go and Watch,Positive
Man in Love,67.0,10.0,23.0,Go and Watch,Positive
Sweet Girl,90.0,7.0,3.0,Go and Watch,Positive
The Chair,33.0,27.0,40.0,You Decide,Neutral
The Loud House Movie,13.0,57.0,30.0,Do not Watch,Negative
A Faraway Land,40.0,23.0,37.0,Go and Watch,Positive
Like Crazy,57.0,43.0,0.0,Go and Watch,Positive
Black Island,33.0,13.0,53.0,You Decide,Neutral
Bombay,27.0,10.0,63.0,You Decide,Neutral
Go! Go! Cory Carson,10.0,0.0,10.0,Go and Watch,Positive
Memories of a Murderer: The Nilsen Tapes,0.0,20.0,0.0,Do not Watch,Negative
