Web Series,Positive,Negative,Neutral,Analysis,Status
Vivo,10.0,20.0,70.0,You Decide,Neutral
Chennai Express,17.0,20.0,63.0,You Decide,Neutral
City of God: 10 Years Later,3.0,0.0,0.0,Go and Watch,Positive
Esperando la carroza,3.0,27.0,70.0,You Decide,Neutral
Lady Boss: The Jackie Collins Story,10.0,0.0,3.0,You Decide,Neutral
Tango Feroz,7.0,17.0,77.0,You Decide,Neutral
'76,10.0,17.0,73.0,You Decide,Neutral
Aftermath,20.0,43.0,37.0,Do not Watch,Negative
American Masters: Inventing David Geffen,0.0,0.0,0.0,Go and Watch,Positive
Car Masters: Rust to Riches,7.0,0.0,0.0,Go and Watch,Positive
Cocaine Cowboys: The Kings of Miami,7.0,0.0,3.0,Go and Watch,Positive
Control Z,13.0,37.0,50.0,You Decide,Neutral
Cooking With Paris,57.0,7.0,37.0,Do not Watch,Negative
Autumn's Concerto,10.0,10.0,17.0,You Decide,Neutral
Heavy,20.0,37.0,43.0,You Decide,Neutral
Ije: The Journey,3.0,0.0,0.0,Go and Watch,Positive
Office Girls,63.0,13.0,23.0,Go and Watch,Positive
Pray Away,50.0,37.0,13.0,Go and Watch,Positive
Shiny_Flakes: The Teenage Drug Lord,0.0,0.0,0.0,Go and Watch,Positive
The Prince Who Turns into a Frog,3.0,3.0,3.0,Go and Watch,Positive
Top Secret UFO Projects: Declassified,20.0,0.0,3.0,You Decide,Neutral
Two Fathers,63.0,20.0,17.0,Go and Watch,Positive
You're My Destiny,63.0,10.0,27.0,Go and Watch,Positive
30 Rock,20.0,20.0,60.0,You Decide,Neutral
44 Cats,30.0,20.0,50.0,You Decide,Neutral
Beethoven,20.0,30.0,50.0,You Decide,Neutral
Beethoven's 2nd,23.0,7.0,37.0,Do not Watch,Negative
Beowulf,17.0,17.0,67.0,You Decide,Neutral
Boyka: Undisputed,13.0,7.0,30.0,Do not Watch,Negative
Catch Me If You Can,23.0,13.0,63.0,You Decide,Neutral
Cloudy with a Chance of Meatballs,83.0,10.0,7.0,Go and Watch,Positive
Darwin’s Game,23.0,23.0,53.0,You Decide,Neutral
Deep Blue Sea,43.0,43.0,13.0,Go and Watch,Positive
Ferris Bueller's Day Off,47.0,7.0,47.0,Do not Watch,Negative
Five Feet Apart,23.0,27.0,50.0,You Decide,Neutral
Freedomland,23.0,10.0,67.0,You Decide,Neutral
Friday Night Lights,27.0,23.0,50.0,You Decide,Neutral
Good Luck Chuck,93.0,3.0,3.0,Go and Watch,Positive
Hunter X Hunter (2011),17.0,3.0,80.0,You Decide,Neutral
I missed you: Director's Cut,0.0,0.0,0.0,Go and Watch,Positive
Inception,20.0,20.0,60.0,You Decide,Neutral
Magnolia,13.0,10.0,77.0,You Decide,Neutral
Major Payne,30.0,20.0,50.0,You Decide,Neutral
My Girl,47.0,17.0,37.0,Go and Watch,Positive
My Girl 2,40.0,33.0,27.0,Go and Watch,Positive
Open Season: Scared Silly,0.0,3.0,0.0,Do not Watch,Negative
Pineapple Express,20.0,23.0,57.0,You Decide,Neutral
Planet 51,27.0,17.0,57.0,You Decide,Neutral
Poms,17.0,3.0,80.0,You Decide,Neutral
Seabiscuit,47.0,17.0,37.0,Go and Watch,Positive
