Web Series,Positive,Negative,Neutral,Analysis,Status,EncodedStatus,numVotes,averageRating,rotten_Tomatoes,Calculated_rating
Dick Johnson Is Dead,10,37,7,You Decide,Neutral,2,1124,7.8,7.5,5
Blood & Water,23,23,53,You Decide,Neutral,2,2064,7.8,6.8,4.9
Ganglands,33,13,53,You Decide,Neutral,2,1181,8.4,4.1,4.2
Jailbirds New Orleans,0,0,13,You Decide,Neutral,2,4676,8.6,6.2,4.9
Kota Factory,23,13,63,You Decide,Neutral,2,1231,8.4,7.1,5
Midnight Mass,27,17,57,You Decide,Neutral,2,1311,8.6,8,5
My Little Pony: A New Generation,13,7,80,You Decide,Neutral,2,1787,7.5,6,4.5
Sankofa,60,10,30,Go and Watch,Positive,1,21997,8.4,6.5,5
The Great British Baking Show,93,7,0,Go and Watch,Positive,1,1024,8.2,3.5,3.9
The Starling,50,7,43,Do not Watch,Negative,0,1068,8.2,8.3,5
"Vendetta: Truth, Lies and The Mafia",0,0,0,Go and Watch,Positive,1,1154,7.4,7.4,4.9
Bangkok Breaking,13,7,57,Do not Watch,Negative,0,3327,7.7,6.2,4.6
Je Suis Karl,7,10,83,You Decide,Neutral,2,1444,6.3,8,4.8
Confessions of an Invisible Girl,3,0,7,You Decide,Neutral,2,1677,4.7,5.9,3.5
Crime Stories: India Detectives,0,0,0,Go and Watch,Positive,1,1650,8.5,7.2,5
Dear White People,83,10,7,Go and Watch,Positive,1,1897,7.4,6.9,4.8
Europe's Most Dangerous Man: Otto Skorzeny in Spain,0,10,0,Do not Watch,Negative,0,2868,6.6,8.1,4.9
Falsa identidad,3,7,90,You Decide,Neutral,2,14774,8.5,8.6,5
Intrusion,30,27,43,You Decide,Neutral,2,1171,8.2,8,5
Jaguar,20,23,57,You Decide,Neutral,2,1374,7.9,8,5
Monsters Inside: The 24 Faces of Billy Milligan,10,3,20,Do not Watch,Negative,0,5084,7.9,7.9,5
Resurrection: Ertugrul,17,0,83,You Decide,Neutral,2,1360,8.4,6.3,4.9
Avvai Shanmughi,13,10,7,You Decide,Neutral,2,1835,6,5.9,4
Go! Go! Cory Carson: Chrissy Takes the Wheel,0,0,3,You Decide,Neutral,2,1389,7,8.2,5
Jeans,33,20,47,You Decide,Neutral,2,2322,8.4,8,5
Love on the Spectrum,73,17,10,Go and Watch,Positive,1,6735,7.5,7,4.8
Minsara Kanavu,10,0,30,You Decide,Neutral,2,2580,8,6,4.7
Grown Ups,27,37,37,Do not Watch,Negative,0,5147,8.2,6.7,5
Dark Skies,63,10,27,Go and Watch,Positive,1,2341,7.4,6.5,4.6
Paranoia,17,63,20,Do not Watch,Negative,0,3120,8.2,6.4,4.9
Ankahi Kahaniya,0,0,0,Go and Watch,Positive,1,1204,7.7,6.5,4.7
Chicago Party Aunt,50,0,0,Go and Watch,Positive,1,1346,7.4,6.3,4.6
Sex Education,17,27,57,You Decide,Neutral,2,3180,6.6,7.9,4.8
Squid Game,17,23,60,You Decide,Neutral,2,1066,8,5.7,4.6
Tayo and Little Wizards,0,0,0,Go and Watch,Positive,1,3237,8.3,7.2,5
The Father Who Moves Mountains,3,3,0,Go and Watch,Positive,1,1085,7.6,7,4.9
The Stronghold,43,40,17,Go and Watch,Positive,1,1932,8.1,5.8,4.6
Angry Birds,23,73,3,Do not Watch,Negative,0,1265,7.8,6.5,4.8
Birth of the Dragon,43,37,20,Go and Watch,Positive,1,7926,7.3,6.7,4.7
Chhota Bheem,43,7,50,Do not Watch,Negative,0,1815,7.1,8,5
He-Man and the Masters of the Universe,30,7,63,Do not Watch,Negative,0,1473,7.6,5.3,4.3
Jaws,13,30,57,You Decide,Neutral,2,3176,8,8.8,5
Jaws 2,33,13,53,You Decide,Neutral,2,3523,7.7,6.9,4.9
Jaws 3,40,20,40,Go and Watch,Positive,1,71073,9,6.9,5
Jaws: The Revenge,17,80,3,Do not Watch,Negative,0,2344,8,7.7,5
My Heroes Were Cowboys,3,0,0,Go and Watch,Positive,1,12235,8.3,6.3,4.9
Safe House,70,17,13,Go and Watch,Positive,1,31143,8.6,5.8,4.8
The Smart Money Woman,73,20,7,Go and Watch,Positive,1,4823,5.5,6.8,4.1
Training Day,60,10,30,Go and Watch,Positive,1,1002,7.9,6.8,4.9
Castle and Castle,53,20,27,Go and Watch,Positive,1,32833,7.5,6.3,4.6
Dharmakshetra,10,10,10,Go and Watch,Positive,1,3076,7,7.3,4.8
InuYasha the Movie 2: The Castle Beyond the Looking Glass,0,0,0,Go and Watch,Positive,1,1358,7.7,6.8,4.8
InuYasha the Movie 3: Swords of an Honorable Ruler,0,0,0,Go and Watch,Positive,1,1226,8.2,7,5
