Web Series,Positive,Negative,Neutral,Analysis,Status,EncodedStatus,numVotes,averageRating,rotten_Tomatoes
Dick Johnson Is Dead,10,37,7,You Decide,Neutral,2,1124,7.8,7.5
Blood & Water,23,23,53,You Decide,Neutral,2,2064,7.8,6.8
Ganglands,33,13,53,You Decide,Neutral,2,1181,8.4,4.1
Jailbirds New Orleans,0,0,13,You Decide,Neutral,2,4676,8.6,6.2
Kota Factory,23,13,63,You Decide,Neutral,2,1231,8.4,7.1
Midnight Mass,27,17,57,You Decide,Neutral,2,1311,8.6,8
My Little Pony: A New Generation,13,7,80,You Decide,Neutral,2,1787,7.5,6
Sankofa,60,10,30,Go and Watch,Positive,1,21997,8.4,6.5
The Great British Baking Show,93,7,0,Go and Watch,Positive,1,1024,8.2,3.5
The Starling,50,7,43,Do not Watch,Negative,0,1068,8.2,8.3
"Vendetta: Truth, Lies and The Mafia",0,0,0,Go and Watch,Positive,1,1154,7.4,7.4
Bangkok Breaking,13,7,57,Do not Watch,Negative,0,3327,7.7,6.2
Je Suis Karl,7,10,83,You Decide,Neutral,2,1444,6.3,8
Confessions of an Invisible Girl,3,0,7,You Decide,Neutral,2,1677,4.7,5.9
Crime Stories: India Detectives,0,0,0,Go and Watch,Positive,1,1650,8.5,7.2
Dear White People,83,10,7,Go and Watch,Positive,1,1897,7.4,6.9
Europe's Most Dangerous Man: Otto Skorzeny in Spain,0,10,0,Do not Watch,Negative,0,2868,6.6,8.1
Falsa identidad,3,7,90,You Decide,Neutral,2,14774,8.5,8.6
Intrusion,30,27,43,You Decide,Neutral,2,1171,8.2,8
Jaguar,20,23,57,You Decide,Neutral,2,1374,7.9,8
Monsters Inside: The 24 Faces of Billy Milligan,10,3,20,Do not Watch,Negative,0,5084,7.9,7.9
Resurrection: Ertugrul,17,0,83,You Decide,Neutral,2,1360,8.4,6.3
Avvai Shanmughi,13,10,7,You Decide,Neutral,2,1835,6,5.9
Go! Go! Cory Carson: Chrissy Takes the Wheel,0,0,3,You Decide,Neutral,2,1389,7,8.2
Jeans,33,20,47,You Decide,Neutral,2,2322,8.4,8
Love on the Spectrum,73,17,10,Go and Watch,Positive,1,6735,7.5,7
Minsara Kanavu,10,0,30,You Decide,Neutral,2,2580,8,6
Grown Ups,27,37,37,Do not Watch,Negative,0,5147,8.2,6.7
Dark Skies,63,10,27,Go and Watch,Positive,1,2341,7.4,6.5
Paranoia,17,63,20,Do not Watch,Negative,0,3120,8.2,6.4
Ankahi Kahaniya,0,0,0,Go and Watch,Positive,1,1204,7.7,6.5
Chicago Party Aunt,50,0,0,Go and Watch,Positive,1,1346,7.4,6.3
Sex Education,17,27,57,You Decide,Neutral,2,3180,6.6,7.9
Squid Game,17,23,60,You Decide,Neutral,2,1066,8,5.7
Tayo and Little Wizards,0,0,0,Go and Watch,Positive,1,3237,8.3,7.2
The Father Who Moves Mountains,3,3,0,Go and Watch,Positive,1,1085,7.6,7
The Stronghold,43,40,17,Go and Watch,Positive,1,1932,8.1,5.8
Angry Birds,23,73,3,Do not Watch,Negative,0,1265,7.8,6.5
Birth of the Dragon,43,37,20,Go and Watch,Positive,1,7926,7.3,6.7
Chhota Bheem,43,7,50,Do not Watch,Negative,0,1815,7.1,8
He-Man and the Masters of the Universe,30,7,63,Do not Watch,Negative,0,1473,7.6,5.3
Jaws,13,30,57,You Decide,Neutral,2,3176,8,8.8
Jaws 2,33,13,53,You Decide,Neutral,2,3523,7.7,6.9
Jaws 3,40,20,40,Go and Watch,Positive,1,71073,9,6.9
Jaws: The Revenge,17,80,3,Do not Watch,Negative,0,2344,8,7.7
My Heroes Were Cowboys,3,0,0,Go and Watch,Positive,1,12235,8.3,6.3
Safe House,70,17,13,Go and Watch,Positive,1,31143,8.6,5.8
The Smart Money Woman,73,20,7,Go and Watch,Positive,1,4823,5.5,6.8
Training Day,60,10,30,Go and Watch,Positive,1,1002,7.9,6.8
Castle and Castle,53,20,27,Go and Watch,Positive,1,32833,7.5,6.3
Dharmakshetra,10,10,10,Go and Watch,Positive,1,3076,7,7.3
InuYasha the Movie 2: The Castle Beyond the Looking Glass,0,0,0,Go and Watch,Positive,1,1358,7.7,6.8
InuYasha the Movie 3: Swords of an Honorable Ruler,0,0,0,Go and Watch,Positive,1,1226,8.2,7
InuYasha the Movie 4: Fire on the Mystic Island,0,0,0,Go and Watch,Positive,1,6772,8.3,6
InuYasha the Movie: Affections Touching Across Time,3,0,0,Go and Watch,Positive,1,1323,7.7,6.3
Nailed It,27,3,70,You Decide,Neutral,2,8733,8.3,6.8
Naruto Shippuden the Movie: Blood Prison,0,0,0,Go and Watch,Positive,1,1392,7.2,6.7
Naruto Shippûden the Movie: Bonds,0,0,3,You Decide,Neutral,2,3652,7,7
Naruto Shippûden the Movie: The Will of Fire,0,0,0,Go and Watch,Positive,1,6824,7.1,6.4
Naruto Shippuden: The Movie,13,53,33,Do not Watch,Negative,0,3880,8.5,6.7
Dick Johnson Is Dead,10,37,7,You Decide,Neutral,2,8027,7.2,7.9
Blood & Water,27,20,53,You Decide,Neutral,2,2262,8.4,6.6
Ganglands,33,13,53,You Decide,Neutral,2,18664,7,6.4
Jailbirds New Orleans,0,0,13,You Decide,Neutral,2,2267,7.2,8
Kota Factory,20,17,63,You Decide,Neutral,2,2432,7.4,7.2
Midnight Mass,23,17,60,You Decide,Neutral,2,4556,7.5,7
My Little Pony: A New Generation,17,7,77,You Decide,Neutral,2,3162,8.4,7.4
Sankofa,60,10,30,Go and Watch,Positive,1,1887,7.6,7.2
The Great British Baking Show,93,7,0,Go and Watch,Positive,1,35307,8.4,6.8
The Starling,47,10,43,Go and Watch,Positive,1,3368,8,8.3
"Vendetta: Truth, Lies and The Mafia",0,0,0,Go and Watch,Positive,1,4301,6.5,7.8
Bangkok Breaking,13,7,57,Do not Watch,Negative,0,2143,7.3,7.9
Je Suis Karl,7,10,83,You Decide,Neutral,2,7243,8.2,6.9
Confessions of an Invisible Girl,3,0,7,You Decide,Neutral,2,1184,7.2,9
Crime Stories: India Detectives,0,0,0,Go and Watch,Positive,1,2499,7,8.1
Dear White People,83,10,7,Go and Watch,Positive,1,14469,8,7.6
Europe's Most Dangerous Man: Otto Skorzeny in Spain,0,10,0,Do not Watch,Negative,0,4167,7.8,7.2
Falsa identidad,3,7,90,You Decide,Neutral,2,17214,7.5,6.5
Intrusion,27,30,43,You Decide,Neutral,2,1668,7.4,7.7
Jaguar,20,23,57,You Decide,Neutral,2,2219,6.3,7.9
Monsters Inside: The 24 Faces of Billy Milligan,10,3,20,Do not Watch,Negative,0,12845,7.3,7
Resurrection: Ertugrul,17,0,83,You Decide,Neutral,2,2882,7,8.8
Avvai Shanmughi,13,10,7,You Decide,Neutral,2,4782,7.7,6.9
Go! Go! Cory Carson: Chrissy Takes the Wheel,0,0,3,You Decide,Neutral,2,12491,7.8,6.5
Jeans,30,23,47,You Decide,Neutral,2,2779,7.7,7.1
Love on the Spectrum,77,13,10,Go and Watch,Positive,1,1056,7.3,7.3
Minsara Kanavu,10,0,30,You Decide,Neutral,2,3927,7.9,7.7
Grown Ups,33,37,30,Do not Watch,Negative,0,1395,7.1,7
Dark Skies,63,10,27,Go and Watch,Positive,1,3219,7.2,6
Paranoia,3,60,37,Do not Watch,Negative,0,1826,6.5,6.3
Ankahi Kahaniya,0,0,0,Go and Watch,Positive,1,2507,7.6,7.9
Chicago Party Aunt,57,0,0,Go and Watch,Positive,1,6088,5.1,6.5
Sex Education,23,23,53,You Decide,Neutral,2,1149,8.2,7
Squid Game,20,27,53,You Decide,Neutral,2,2452,7.3,7.5
Tayo and Little Wizards,0,0,0,Go and Watch,Positive,1,10953,8.2,8.8
The Father Who Moves Mountains,3,3,0,Go and Watch,Positive,1,1335,6.7,5.7
The Stronghold,37,47,17,Do not Watch,Negative,0,5764,7.2,7
Angry Birds,23,73,3,Do not Watch,Negative,0,8632,7.9,8
Birth of the Dragon,43,37,20,Go and Watch,Positive,1,13291,7.4,7.6
Chhota Bheem,43,7,50,Do not Watch,Negative,0,1959,7.1,7.2
He-Man and the Masters of the Universe,30,7,63,Do not Watch,Negative,0,6584,7.3,6.8
Jaws,23,20,57,You Decide,Neutral,2,1126,8.2,7.2
Jaws 2,33,13,53,You Decide,Neutral,2,1278,6.8,8
Jaws 3,37,23,40,You Decide,Neutral,2,4375,8.1,8.5
Jaws: The Revenge,17,80,3,Do not Watch,Negative,0,18896,7.5,7.5
My Heroes Were Cowboys,3,0,0,Go and Watch,Positive,1,1447,7.9,7.4
Safe House,73,13,13,Go and Watch,Positive,1,3936,8,7.1
The Smart Money Woman,73,20,7,Go and Watch,Positive,1,2178,6.9,8.1
Training Day,67,13,20,Go and Watch,Positive,1,2587,7.4,7.5
Castle and Castle,50,20,30,Go and Watch,Positive,1,1606,6.2,7.3
Dharmakshetra,10,10,10,Go and Watch,Positive,1,8060,7.9,7
InuYasha the Movie 2: The Castle Beyond the Looking Glass,0,0,0,Go and Watch,Positive,1,3669,7.4,3.8
InuYasha the Movie 3: Swords of an Honorable Ruler,0,0,0,Go and Watch,Positive,1,1430,7.5,7.1
InuYasha the Movie 4: Fire on the Mystic Island,0,0,0,Go and Watch,Positive,1,9055,8,7.1
InuYasha the Movie: Affections Touching Across Time,3,0,0,Go and Watch,Positive,1,1535,7.3,8.3
Nailed It,33,13,53,You Decide,Neutral,2,73391,8.3,6.7
Naruto Shippuden the Movie: Blood Prison,0,0,0,Go and Watch,Positive,1,2209,7.1,7.7
Naruto Shippûden the Movie: Bonds,0,0,3,You Decide,Neutral,2,3132,7.6,7.6
Naruto Shippûden the Movie: The Will of Fire,0,0,0,Go and Watch,Positive,1,2046,7.2,8.4
Naruto Shippuden: The Movie,13,53,33,Do not Watch,Negative,0,4841,8.8,8
Naruto Shippuden: The Movie: The Lost Tower,7,0,0,Go and Watch,Positive,1,2278,7.6,8.3
Naruto the Movie 2: Legend of the Stone of Gelel,0,0,0,Go and Watch,Positive,1,1170,6.7,6.9
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,0,0,0,Go and Watch,Positive,1,2094,6.5,6.5
Naruto the Movie: Ninja Clash in the Land of Snow,0,7,3,Do not Watch,Negative,0,1685,7.7,6.8
Nightbooks,17,13,33,You Decide,Neutral,2,2518,8.1,6.5
Numberblocks,27,17,57,You Decide,Neutral,2,3073,6.9,7.8
Raja Rasoi Aur Anya Kahaniyan,3,0,0,Go and Watch,Positive,1,2711,7.3,7
Saved by the Bell,80,10,10,Go and Watch,Positive,1,12372,8.4,8
Schumacher,43,13,43,Go and Watch,Positive,1,1211,7.8,7.7
Stories by Rabindranath Tagore,13,0,3,You Decide,Neutral,2,2528,7.2,7
Too Hot To Handle: Latino,7,3,13,Go and Watch,Positive,1,3208,7.4,7.2
A StoryBots Space Adventure,0,0,0,Go and Watch,Positive,1,3133,7.6,7.1
Jack Whitehall: Travels with My Father,0,3,3,Do not Watch,Negative,0,1503,7.3,6.8
King of Boys,30,27,43,You Decide,Neutral,2,1221,7.5,8.8
The World's Most Amazing Vacation Rentals,10,0,0,Go and Watch,Positive,1,9445,8.5,7.1
You vs. Wild: Out Cold,0,0,0,Go and Watch,Positive,1,5614,8.1,7.9
Yowamushi Pedal,27,17,57,You Decide,Neutral,2,1102,7.7,8.6
Little Singham - Black Shadow,0,0,0,Go and Watch,Positive,1,5683,7.3,6.8
Tughlaq Durbar,3,3,0,Go and Watch,Positive,1,1251,6.9,6.9
Tughlaq Durbar (Telugu),0,0,0,Go and Watch,Positive,1,1701,7.6,6.3
Firedrake the Silver Dragon,0,0,0,Go and Watch,Positive,1,2181,7.1,7.6
Kate,23,7,70,You Decide,Neutral,2,7509,8.6,7.3
Lucifer,20,23,57,You Decide,Neutral,2,1735,6.9,7.1
Metal Shop Masters,7,3,3,Go and Watch,Positive,1,2188,6.8,7.5
Omo Ghetto: the Saga,17,10,10,Go and Watch,Positive,1,3556,7.4,7.8
Pokémon Master Journeys: The Series,7,0,7,Go and Watch,Positive,1,2566,8,8.8
Prey,40,37,23,Go and Watch,Positive,1,4471,7.5,7.5
Titipo Titipo,23,0,67,You Decide,Neutral,2,12388,6.7,7.8
Blood Brothers: Malcolm X & Muhammad Ali,0,0,7,You Decide,Neutral,2,1136,7.2,7.8
Mighty Raju,7,0,20,Go and Watch,Positive,1,3198,7.1,7.3
Paradise Hills,73,10,17,Go and Watch,Positive,1,1526,7.4,7
The Women and the Murderer,20,70,10,Do not Watch,Negative,0,1285,6.9,7.7
Into the Night,33,27,40,You Decide,Neutral,2,1815,6.8,7.3
JJ+E,33,13,53,You Decide,Neutral,2,1338,7,7.2
Show Dogs,47,27,27,Go and Watch,Positive,1,67322,8.8,7.8
The Circle,60,17,23,Go and Watch,Positive,1,1956,7,8.7
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,0,0,0,Go and Watch,Positive,1,15925,7.6,7.9
Kid Cosmic,17,23,60,You Decide,Neutral,2,1093,7.6,8.9
Octonauts: Above & Beyond,7,3,0,Go and Watch,Positive,1,30053,7.9,6.1
On the Verge,30,43,27,Do not Watch,Negative,0,12015,8.1,6.2
Tobot Galaxy Detectives,0,0,3,You Decide,Neutral,2,2856,7.9,6.7
Untold: Breaking Point,13,3,13,Do not Watch,Negative,0,1213,7.1,7.4
Countdown: Inspiration4 Mission to Space,23,0,57,You Decide,Neutral,2,2526,6.6,6.7
Shadow Parties,50,33,17,Go and Watch,Positive,1,1442,7.7,8.4
Tayo the Little Bus,13,7,27,Do not Watch,Negative,0,1762,6.2,7.6
Angamaly Diaries,17,0,47,You Decide,Neutral,2,6956,8.1,8
Bunk'd,40,20,40,Go and Watch,Positive,1,2743,6.9,9.1
A Champion Heart,77,17,7,Go and Watch,Positive,1,1354,8.2,7.9
Dive Club,50,10,40,Go and Watch,Positive,1,4783,8,7
La casa de papel,7,30,63,Go and Watch,Positive,1,5277,7.8,7
Money Heist: From Tokyo to Berlin,0,0,3,You Decide,Neutral,2,3424,6.4,8.6
Sharkdog,23,37,40,You Decide,Neutral,2,1690,7.6,7.4
Worth,60,27,13,Go and Watch,Positive,1,13966,8.3,7.7
Afterlife of the Party,53,47,0,Go and Watch,Positive,1,2655,6.7,7
Anjaam,10,7,83,You Decide,Neutral,2,1773,8.1,7
Bright Star,67,10,23,Go and Watch,Positive,1,1523,8.7,8
Dhanak,40,7,53,Do not Watch,Negative,0,2042,7.1,6.9
Final Account,33,20,47,You Decide,Neutral,2,4711,8.1,6.9
Gurgaon,20,37,43,You Decide,Neutral,2,1181,8.4,6.6
Here and There,33,40,27,Do not Watch,Negative,0,2940,7.8,7.3
Heroes of Goo Jit Zu,43,0,0,Go and Watch,Positive,1,2679,8.3,8.5
Hotel Del Luna,17,23,60,You Decide,Neutral,2,7137,7.9,7.6
In the Cut,20,63,17,Do not Watch,Negative,0,1291,7.6,6.2
Luv Kushh,0,0,0,Go and Watch,Positive,1,4889,8.1,7
