Web Series,Positive,Negative,Neutral,Analysis,Status
Dick Johnson Is Dead,10,37,7,You Decide,Neutral
Blood & Water,23,23,53,You Decide,Neutral
Ganglands,33,13,53,You Decide,Neutral
Jailbirds New Orleans,0,0,13,You Decide,Neutral
Kota Factory,23,13,63,You Decide,Neutral
Midnight Mass,27,17,57,You Decide,Neutral
My Little Pony: A New Generation,13,7,80,You Decide,Neutral
Sankofa,60,10,30,Go and Watch,Positive
The Great British Baking Show,93,7,0,Go and Watch,Positive
The Starling,50,7,43,Do not Watch,Negative
"Vendetta: Truth, Lies and The Mafia",0,0,0,Go and Watch,Positive
Bangkok Breaking,13,7,57,Do not Watch,Negative
Je Suis Karl,7,10,83,You Decide,Neutral
Confessions of an Invisible Girl,3,0,7,You Decide,Neutral
Crime Stories: India Detectives,0,0,0,Go and Watch,Positive
Dear White People,83,10,7,Go and Watch,Positive
Europe's Most Dangerous Man: Otto Skorzeny in Spain,0,10,0,Do not Watch,Negative
Falsa identidad,3,7,90,You Decide,Neutral
Intrusion,30,27,43,You Decide,Neutral
Jaguar,20,23,57,You Decide,Neutral
Monsters Inside: The 24 Faces of Billy Milligan,10,3,20,Do not Watch,Negative
Resurrection: Ertugrul,17,0,83,You Decide,Neutral
Avvai Shanmughi,13,10,7,You Decide,Neutral
Go! Go! Cory Carson: Chrissy Takes the Wheel,0,0,3,You Decide,Neutral
Jeans,33,20,47,You Decide,Neutral
Love on the Spectrum,73,17,10,Go and Watch,Positive
Minsara Kanavu,10,0,30,You Decide,Neutral
Grown Ups,27,37,37,Do not Watch,Negative
Dark Skies,63,10,27,Go and Watch,Positive
Paranoia,17,63,20,Do not Watch,Negative
Ankahi Kahaniya,0,0,0,Go and Watch,Positive
Chicago Party Aunt,50,0,0,Go and Watch,Positive
Sex Education,17,27,57,You Decide,Neutral
Squid Game,17,23,60,You Decide,Neutral
Tayo and Little Wizards,0,0,0,Go and Watch,Positive
The Father Who Moves Mountains,3,3,0,Go and Watch,Positive
The Stronghold,43,40,17,Go and Watch,Positive
Angry Birds,23,73,3,Do not Watch,Negative
Birth of the Dragon,43,37,20,Go and Watch,Positive
Chhota Bheem,43,7,50,Do not Watch,Negative
He-Man and the Masters of the Universe,30,7,63,Do not Watch,Negative
Jaws,13,30,57,You Decide,Neutral
Jaws 2,33,13,53,You Decide,Neutral
Jaws 3,40,20,40,Go and Watch,Positive
Jaws: The Revenge,17,80,3,Do not Watch,Negative
My Heroes Were Cowboys,3,0,0,Go and Watch,Positive
Safe House,70,17,13,Go and Watch,Positive
The Smart Money Woman,73,20,7,Go and Watch,Positive
Training Day,60,10,30,Go and Watch,Positive
Castle and Castle,53,20,27,Go and Watch,Positive
Dharmakshetra,10,10,10,Go and Watch,Positive
InuYasha the Movie 2: The Castle Beyond the Looking Glass,0,0,0,Go and Watch,Positive
InuYasha the Movie 3: Swords of an Honorable Ruler,0,0,0,Go and Watch,Positive
InuYasha the Movie 4: Fire on the Mystic Island,0,0,0,Go and Watch,Positive
InuYasha the Movie: Affections Touching Across Time,3,0,0,Go and Watch,Positive
Nailed It,27,3,70,You Decide,Neutral
Naruto Shippuden the Movie: Blood Prison,0,0,0,Go and Watch,Positive
Naruto Shippûden the Movie: Bonds,0,0,3,You Decide,Neutral
Naruto Shippûden the Movie: The Will of Fire,0,0,0,Go and Watch,Positive
Naruto Shippuden: The Movie,13,53,33,Do not Watch,Negative
Dick Johnson Is Dead,10,37,7,You Decide,Neutral
Blood & Water,27,20,53,You Decide,Neutral
Ganglands,33,13,53,You Decide,Neutral
Jailbirds New Orleans,0,0,13,You Decide,Neutral
Kota Factory,20,17,63,You Decide,Neutral
Midnight Mass,23,17,60,You Decide,Neutral
My Little Pony: A New Generation,17,7,77,You Decide,Neutral
Sankofa,60,10,30,Go and Watch,Positive
The Great British Baking Show,93,7,0,Go and Watch,Positive
The Starling,47,10,43,Go and Watch,Positive
"Vendetta: Truth, Lies and The Mafia",0,0,0,Go and Watch,Positive
Bangkok Breaking,13,7,57,Do not Watch,Negative
Je Suis Karl,7,10,83,You Decide,Neutral
Confessions of an Invisible Girl,3,0,7,You Decide,Neutral
Crime Stories: India Detectives,0,0,0,Go and Watch,Positive
Dear White People,83,10,7,Go and Watch,Positive
Europe's Most Dangerous Man: Otto Skorzeny in Spain,0,10,0,Do not Watch,Negative
Falsa identidad,3,7,90,You Decide,Neutral
Intrusion,27,30,43,You Decide,Neutral
Jaguar,20,23,57,You Decide,Neutral
Monsters Inside: The 24 Faces of Billy Milligan,10,3,20,Do not Watch,Negative
Resurrection: Ertugrul,17,0,83,You Decide,Neutral
Avvai Shanmughi,13,10,7,You Decide,Neutral
Go! Go! Cory Carson: Chrissy Takes the Wheel,0,0,3,You Decide,Neutral
Jeans,30,23,47,You Decide,Neutral
Love on the Spectrum,77,13,10,Go and Watch,Positive
Minsara Kanavu,10,0,30,You Decide,Neutral
Grown Ups,33,37,30,Do not Watch,Negative
Dark Skies,63,10,27,Go and Watch,Positive
Paranoia,3,60,37,Do not Watch,Negative
Ankahi Kahaniya,0,0,0,Go and Watch,Positive
Chicago Party Aunt,57,0,0,Go and Watch,Positive
Sex Education,23,23,53,You Decide,Neutral
Squid Game,20,27,53,You Decide,Neutral
Tayo and Little Wizards,0,0,0,Go and Watch,Positive
The Father Who Moves Mountains,3,3,0,Go and Watch,Positive
The Stronghold,37,47,17,Do not Watch,Negative
Angry Birds,23,73,3,Do not Watch,Negative
Birth of the Dragon,43,37,20,Go and Watch,Positive
Chhota Bheem,43,7,50,Do not Watch,Negative
He-Man and the Masters of the Universe,30,7,63,Do not Watch,Negative
Jaws,23,20,57,You Decide,Neutral
Jaws 2,33,13,53,You Decide,Neutral
Jaws 3,37,23,40,You Decide,Neutral
Jaws: The Revenge,17,80,3,Do not Watch,Negative
My Heroes Were Cowboys,3,0,0,Go and Watch,Positive
Safe House,73,13,13,Go and Watch,Positive
The Smart Money Woman,73,20,7,Go and Watch,Positive
Training Day,67,13,20,Go and Watch,Positive
Castle and Castle,50,20,30,Go and Watch,Positive
Dharmakshetra,10,10,10,Go and Watch,Positive
InuYasha the Movie 2: The Castle Beyond the Looking Glass,0,0,0,Go and Watch,Positive
InuYasha the Movie 3: Swords of an Honorable Ruler,0,0,0,Go and Watch,Positive
InuYasha the Movie 4: Fire on the Mystic Island,0,0,0,Go and Watch,Positive
InuYasha the Movie: Affections Touching Across Time,3,0,0,Go and Watch,Positive
Nailed It,33,13,53,You Decide,Neutral
Naruto Shippuden the Movie: Blood Prison,0,0,0,Go and Watch,Positive
Naruto Shippûden the Movie: Bonds,0,0,3,You Decide,Neutral
Naruto Shippûden the Movie: The Will of Fire,0,0,0,Go and Watch,Positive
Naruto Shippuden: The Movie,13,53,33,Do not Watch,Negative
Naruto Shippuden: The Movie: The Lost Tower,7,0,0,Go and Watch,Positive
