Web Series,Positive,Negative,Neutral,Analysis,Status
Baggio: The Divine Ponytail,20.0,0.0,7.0,You Decide,Neutral
Motu Patlu: Deep Sea Adventure,0.0,0.0,0.0,Go and Watch,Positive
Durarara!!,40.0,3.0,57.0,You Decide,Neutral
Universal Soldier: The Return,10.0,3.0,3.0,Do not Watch,Negative
Safe Haven,70.0,7.0,23.0,Go and Watch,Positive
Little Big Women,23.0,40.0,37.0,Do not Watch,Negative
Nailed It! Mexico,10.0,3.0,17.0,Do not Watch,Negative
Nocturnal Animals,27.0,10.0,63.0,You Decide,Neutral
Over Christmas,33.0,30.0,37.0,You Decide,Neutral
Love & Anarchy,83.0,3.0,13.0,Go and Watch,Positive
Someone Has to Die,13.0,77.0,10.0,Do not Watch,Negative
Golmaal Returns,13.0,0.0,13.0,Go and Watch,Positive
Transformers: Cyberverse,40.0,23.0,37.0,Go and Watch,Positive
(Un)Well,53.0,20.0,27.0,Go and Watch,Positive
The Players,57.0,17.0,27.0,Go and Watch,Positive
Vivah,17.0,7.0,77.0,You Decide,Neutral
True: Rainbow Rescue,3.0,0.0,3.0,Go and Watch,Positive
The Wrong Missy,17.0,70.0,13.0,Do not Watch,Negative
After Life,43.0,33.0,23.0,Go and Watch,Positive
Saint Seiya,0.0,43.0,57.0,You Decide,Neutral
Angu Vaikuntapurathu (Malayalam),0.0,0.0,0.0,Go and Watch,Positive
Jada,23.0,30.0,47.0,You Decide,Neutral
Until Dawn,27.0,33.0,40.0,You Decide,Neutral
Isoken,7.0,0.0,93.0,You Decide,Neutral
Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal,0.0,0.0,0.0,Go and Watch,Positive
Maid-Sama!,33.0,17.0,50.0,You Decide,Neutral
Rhythm + Flow,33.0,37.0,30.0,Do not Watch,Negative
Moving Art,53.0,13.0,33.0,Go and Watch,Positive
My First First Love,73.0,13.0,13.0,Go and Watch,Positive
Pihu,10.0,0.0,90.0,You Decide,Neutral
The Society,40.0,37.0,23.0,Go and Watch,Positive
Quicksand,20.0,33.0,47.0,You Decide,Neutral
That Thing Called Tadhana,20.0,3.0,33.0,You Decide,Neutral
LEGO Marvel Super Heroes: Guardians of the Galaxy,0.0,0.0,0.0,Go and Watch,Positive
Sam Kinison: The Scream Continues,0.0,0.0,0.0,Go and Watch,Positive
Haunted House,30.0,63.0,7.0,You Decide,Neutral
Hattrick,27.0,13.0,60.0,You Decide,Neutral
Eric ldle's What About Dick?,0.0,0.0,0.0,Go and Watch,Positive
Super Monsters Monster Party,0.0,0.0,0.0,Go and Watch,Positive
Invisible,40.0,10.0,50.0,You Decide,Neutral
Bad Genius,27.0,70.0,3.0,Do not Watch,Negative
Todo lo que sería Lucas Lauriente,0.0,0.0,0.0,Go and Watch,Positive
Love Per Square Foot,17.0,0.0,0.0,Go and Watch,Positive
DreamWorks Home: For the Holidays,0.0,0.0,0.0,Go and Watch,Positive
Generation Iron 2,3.0,3.0,0.0,Go and Watch,Positive
LEGO Marvel Super Heroes: Avengers Reassembled!,0.0,0.0,0.0,Go and Watch,Positive
Shimmer Lake,17.0,0.0,7.0,You Decide,Neutral
Win It All,57.0,37.0,7.0,You Decide,Neutral
We're Lalaloopsy,0.0,0.0,0.0,Go and Watch,Positive
They Are Everywhere,33.0,47.0,20.0,Do not Watch,Negative
The Fundamentals of Caring,83.0,10.0,7.0,Go and Watch,Positive
Breaking Bad,13.0,83.0,3.0,Do not Watch,Negative
A Haunting at Silver Falls: The Return,0.0,0.0,0.0,Go and Watch,Positive
American Experience: The Island Murder,0.0,0.0,0.0,Go and Watch,Positive
Barbie: Princess Charm School,93.0,3.0,3.0,Go and Watch,Positive
Blue Mountain State: The Rise of Thadland,0.0,0.0,0.0,Go and Watch,Positive
Chal Mere Bhai,30.0,10.0,60.0,You Decide,Neutral
Crash,13.0,73.0,13.0,Do not Watch,Negative
Dr. Seuss' The Grinch,33.0,3.0,23.0,Go and Watch,Positive
Farce,10.0,70.0,20.0,Do not Watch,Negative
Get Santa,57.0,20.0,23.0,Go and Watch,Positive
Have You Seen the Listers?,0.0,0.0,0.0,Go and Watch,Positive
I Am Not Madame Bovary,0.0,3.0,0.0,Do not Watch,Negative
Jonathan Strange & Mr Norrell,37.0,60.0,3.0,Do not Watch,Negative
Kung Fu Magoo,0.0,0.0,0.0,Go and Watch,Positive
Los tiempos de Pablo Escobar,3.0,30.0,67.0,You Decide,Neutral
Memoir of a Murderer,7.0,83.0,10.0,Do not Watch,Negative
My Life My Story,30.0,10.0,60.0,You Decide,Neutral
OCTB,3.0,3.0,93.0,You Decide,Neutral
Pick of the Litter,50.0,17.0,33.0,Go and Watch,Positive
Rebelde,3.0,17.0,80.0,You Decide,Neutral
Sat Sri Akal,30.0,0.0,70.0,You Decide,Neutral
Slobby's World,0.0,0.0,0.0,Go and Watch,Positive
Swiss Army Man,37.0,13.0,50.0,You Decide,Neutral
The Cell,50.0,27.0,23.0,Go and Watch,Positive
The Heat: A Kitchen (R)evolution,0.0,0.0,0.0,Go and Watch,Positive
The NSU-Complex,0.0,0.0,0.0,Go and Watch,Positive
The Tuxedo,43.0,20.0,37.0,Go and Watch,Positive
Tunisian Victory,100.0,0.0,0.0,Go and Watch,Positive
Wild Alaska,37.0,23.0,40.0,You Decide,Neutral
